"population","location"
2066,"South Padre Island"
1014,"South Point"
1835,"Southside Place"
434,"South Toledo Bend"
1666,"Southwest Sandhill"
71,"Spade"
4760,"Sparks"
3171,"Spearman"
1683,"Splendora"
41,"Spofford"
62559,"Spring"
206,"Spring Branch"
497,"Spring Gardens"
145,"Springlake"
3064,"Springtown"
4229,"Spring Valley Village"
863,"Spur"
17666,"Stafford"
580,"Stagecoach"
2907,"Stamford"
2657,"Stanton"
193,"Staples"
482,"Star Harbor"
16713,"Steiner Ranch"
20897,"Stephenville"
1121,"Sterling City"
1650,"Stinnett"
1413,"Stockdale"
380,"Stockton Bend"
451,"Stonewall"
1743,"Stowell"
1939,"Stratford"
540,"Strawn"
13964,"Hidalgo"
3201,"Hideaway"
356,"Higgins"
418,"Highland Haven"
8864,"Highland Park"
8612,"Highlands"
15899,"Highland Village"
942,"Hill Country Village"
705,"Hillcrest"
8221,"Hillsboro"
3,"Hillside Acres"
356,"Hilltop CDP (Frio"
120,"Hilltop CDP (Starr"
1385,"Hilltop Lakes"
816,"Hilshire Village"
7301,"Hitchcock"
526,"Holiday Beach"
991,"Holiday Lakes"
1075,"Holland"
1524,"Holliday"
2951,"Holly Lake Ranch"
3130,"Hollywood Park"
5210,"Homestead Meadows North"
7142,"Homestead Meadows South"
8289,"Hondo"
1715,"Honey Grove"
2518,"Hooks"
22489,"Horizon City"
12168,"Hornsby Bend"
4257,"Horseshoe Bay"
949,"Horseshoe Bend"
2304580,"Houston"
370,"Howardwick"
3571,"Howe"
1394,"Hubbard"
268,"Huckabay"
4849,"Hudson"
4005,"Hudson Bend"
2174,"Hudson Oaks"
1575,"Hughes Springs"
1335,"Hico"
522,"Hull"
16795,"Humble"
390,"Hungerford"
4385,"Hunters Creek Village"
2025,"Huntington"
45941,"Huntsville"
40413,"Hurst"
5607,"Hutchins"
27577,"Hutto"
361,"Huxley"
148,"Iago"
2193,"Idalou"
415,"Iglesia Antigua"
22,"Impact"
294,"Imperial"
2694,"Indian Hills"
839,"Indian Lake"
248,"Streetman"
200,"Study Butte"
940,"Sudan"
111026,"Sugar Land"
3908,"Sullivan City"
15941,"Sulphur Springs"
34,"Summerfield"
1283,"Sundown"
7893,"Sunnyvale"
1707,"Sunray"
739,"Sunrise Beach Village"
598,"Sunrise Shores"
543,"Sunset CDP (Montague"
34,"Sunset CDP (Starr"
4,"Sunset Acres"
683,"Sunset Valley"
70,"Sun Valley"
640,"Surfside Beach"
3626,"Sweeny"
10622,"Sweetwater"
52,"Sylvester"
2801,"Taft"
1296,"Taft Southwest"
2375,"Tahoka"
494,"Talco"
2500,"Talty"
229,"Tanquecitos South Acres"
60,"Tanquecitos South Acres II"
1342,"Tatum"
16267,"Taylor"
3704,"Taylor Lake Village"
278,"Taylor Landing"
3384,"Teague"
228,"Tehuacana"
82073,"Temple"
989,"Tenaha"
78,"Terlingua"
17465,"Terrell"
5045,"Terrell Hills"
36193,"Texarkana"
51898,"Texas City"
258,"Texhoma"
448,"Texline"
44534,"The Colony"
2613,"The Hills"
3890,"The Homesteads"
114436,"The Woodlands"
156,"Thompsons"
26,"Thompsonville"
1263,"Thorndale"
421,"Thornton"
561,"Thorntonville"
816,"Thrall"
1474,"Three Rivers"
727,"Throckmorton"
764,"Thunderbird Bay"
179,"Tierra Bonita"
29,"Tierra Dorada"
892,"Indian Springs"
65,"Indio"
268,"Industry"
2641,"Inez"
9519,"Ingleside"
614,"Ingleside on the Bay"
1787,"Ingram"
311,"Iola"
8154,"Iowa Colony"
6535,"Iowa Park"
1055,"Iraan"
305,"Iredell"
256684,"Irving"
1926,"Italy"
1562,"Itasca"
1327,"Ivanhoe"
9613,"Jacinto City"
4184,"Jacksboro"
13997,"Jacksonville"
1078,"Jamaica Beach"
23,"Jardin de San Julian"
1753,"Jarrell"
6884,"Jasper"
511,"Jayton"
1875,"Jefferson"
7921,"Jersey Village"
793,"Jewett"
82,"J.F. Villareal"
734,"Joaquin"
