"zcta","City","population","ZIP_CODE","PO_NAME","STATE"
"75672","Marshall",17285,"75688","Scottsville","TX"
"75672","Marshall",17285,"75672","Marshall","TX"
"75680","Minden",14,"75680","Minden","TX"
"75681","Mount Enterprise",2674,"75681","Mount Enterprise","TX"
"75682","New London",563,"75682","New London","TX"
"75683","Ore City",3773,"75683","Ore City","TX"
"75684","Overton",6744,"75684","Overton","TX"
"75686","Pittsburg",13293,"75686","Pittsburg","TX"
"75687","Price",7,"75687","Price","TX"
"75689","Selman City",212,"75689","Selman City","TX"
"75691","Tatum",4025,"75691","Tatum","TX"
"75692","Waskom",5098,"75692","Waskom","TX"
"75693","White Oak",6512,"75693","White Oak","TX"
"75701","Tyler",34502,"75799","Tyler","TX"
"75701","Tyler",34502,"75713","Tyler","TX"
"75701","Tyler",34502,"75798","Tyler","TX"
"75701","Tyler",34502,"75701","Tyler","TX"
"75702","Tyler",26777,"75702","Tyler","TX"
"75702","Tyler",26777,"75710","Tyler","TX"
"75702","Tyler",26777,"75712","Tyler","TX"
"75703","Tyler",44428,"75703","Tyler","TX"
"75704","Tyler",10075,"75704","Tyler","TX"
"75705","Tyler",2141,"75705","Tyler","TX"
"75706","Tyler",10313,"75706","Tyler","TX"
"75707","Tyler",16620,"75707","Tyler","TX"
"75708","Tyler",8294,"75708","Tyler","TX"
"75709","Tyler",6037,"75709","Tyler","TX"
"75711","Tyler",135,"75711","Tyler","TX"
"75750","Arp",3777,"75750","Arp","TX"
"75751","Athens",17100,"75751","Athens","TX"
"75751","Athens",17100,"75832","Cayuga","TX"
"75752","Athens",7439,"75752","Athens","TX"
"75754","Ben Wheeler",6632,"75754","Ben Wheeler","TX"
"75755","Big Sandy",5250,"75755","Big Sandy","TX"
"75755","Big Sandy",5250,"75797","Big Sandy","TX"
"75756","Brownsboro",4458,"75756","Brownsboro","TX"
"75757","Bullard",13330,"75757","Bullard","TX"
"75758","Chandler",9890,"75758","Chandler","TX"
"75759","Cuney",122,"75759","Cuney","TX"
"75760","Cushing",2583,"75760","Cushing","TX"
"75762","Flint",13923,"75762","Flint","TX"
"75763","Frankston",5663,"75763","Frankston","TX"
"75764","Gallatin",178,"75764","Gallatin","TX"
"75765","Hawkins",7728,"75765","Hawkins","TX"
"75766","Jacksonville",25382,"75766","Jacksonville","TX"
"75770","Larue",2893,"75770","Larue","TX"
"75771","Lindale",21870,"75771","Lindale","TX"
"75773","Mineola",13559,"75773","Mineola","TX"
"75773","Mineola",13559,"75444","Golden","TX"
"75778","Murchison",3467,"75778","Murchison","TX"
"75779","Neches",80,"75779","Neches","TX"
"75780","New Summerfield",481,"75780","New Summerfield","TX"
"75782","Poynor",85,"75782","Poynor","TX"
"75783","Quitman",7763,"75783","Quitman","TX"
"75784","Reklaw",542,"75784","Reklaw","TX"
"75785","Rusk",10687,"75785","Rusk","TX"
"75785","Rusk",10687,"75772","Maydelle","TX"
"75788","Sacul",99,"75788","Sacul","TX"
"75789","Troup",8045,"75789","Troup","TX"
"75790","Van",4359,"75790","Van","TX"
"75791","Whitehouse",14255,"75791","Whitehouse","TX"
"75792","Winona",3595,"75792","Winona","TX"
"75801","Palestine",16859,"75801","Palestine","TX"
"75803","Palestine",22290,"75802","Palestine","TX"
"75803","Palestine",22290,"75803","Palestine","TX"
"75803","Palestine",22290,"75882","Palestine","TX"
"75803","Palestine",22290,"75880","Tennessee Colony","TX"
"75831","Buffalo",4865,"75831","Buffalo","TX"
"75833","Centerville",3259,"75833","Centerville","TX"
"75835","Crockett",11342,"75835","Crockett","TX"
"75838","Donie",525,"75838","Donie","TX"
"75839","Elkhart",5282,"75839","Elkhart","TX"
"75840","Fairfield",7029,"75840","Fairfield","TX"
"75844","Grapeland",5144,"75844","Grapeland","TX"
"75845","Groveton",2784,"75845","Groveton","TX"
"75846","Jewett",2327,"77850","Concord","TX"
"75846","Jewett",2327,"75846","Jewett","TX"
"75847","Kennard",1547,"75847","Kennard","TX"
"75848","Kirvin",88,"75848","Kirvin","TX"
"75849","Latexo",95,"75849","Latexo","TX"
"75850","Leona",596,"75850","Leona","TX"
"75851","Lovelady",4869,"75851","Lovelady","TX"
"75852","Midway",3621,"75852","Midway","TX"
"75853","Montalba",970,"75853","Montalba","TX"
"75855","Oakwood",2242,"75855","Oakwood","TX"
"75856","Pennington",195,"75856","Pennington","TX"
"75858","Ratcliff",100,"75858","Ratcliff","TX"
"75859","Streetman",2212,"75859","Streetman","TX"
"75860","Teague",6623,"75860","Teague","TX"
"75861","Tennessee Colony",1410,"75861","Tennessee Colony","TX"
"75862","Trinity",9364,"75862","Trinity","TX"
"75865","Woodlake",22,"75865","Woodlake","TX"
"75884","Tennessee Colony",4156,"75884","Tennessee Colony","TX"
"75886","Tennessee Colony",2959,"75886","Tennessee Colony","TX"
"75901","Lufkin",28373,"75901","Lufkin","TX"
"75903","Lufkin",133,"75903","Lufkin","TX"
"75904","Lufkin",34680,"75902","Lufkin","TX"
"75904","Lufkin",34680,"75915","Lufkin","TX"
"75904","Lufkin",34680,"75904","Lufkin","TX"
"75925","Alto",3635,"75925","Alto","TX"
"75926","Apple Springs",1066,"75926","Apple Springs","TX"
"75926","Apple Springs",1066,"75834","Centralia","TX"
"75928","Bon Wier",1181,"75928","Bon Wier","TX"
"75929","Broaddus",1415,"75929","Broaddus","TX"
"75930","Bronson",1954,"75930","Bronson","TX"
"75931","Brookeland",2446,"75931","Brookeland","TX"
"75932","Burkeville",1331,"75932","Burkeville","TX"
"75933","Call",1290,"75933","Call","TX"
"75934","Camden",71,"75934","Camden","TX"
"75935","Center",13060,"75935","Center","TX"
"75936","Chester",848,"75936","Chester","TX"
"75937","Chireno",1081,"75937","Chireno","TX"
"75938","Colmesneil",2432,"75938","Colmesneil","TX"
"75939","Corrigan",3716,"75939","Corrigan","TX"
"75941","Diboll",8622,"75941","Diboll","TX"
"75942","Doucette",125,"75942","Doucette","TX"
"75943","Douglass",1300,"75943","Douglass","TX"
"75944","Etoile",1138,"75944","Etoile","TX"
"75946","Garrison",3452,"75946","Garrison","TX"
"75948","Hemphill",5582,"75948","Hemphill","TX"
"75949","Huntington",8052,"75949","Huntington","TX"
"75951","Jasper",14370,"75951","Jasper","TX"
"75954","Joaquin",3233,"75954","Joaquin","TX"
"75956","Kirbyville",7435,"75956","Kirbyville","TX"
"75959","Milam",821,"75959","Milam","TX"
"75960","Moscow",816,"75960","Moscow","TX"
"75961","Nacogdoches",15656,"75958","Martinsville","TX"
"75961","Nacogdoches",15656,"75978","Woden","TX"
"75961","Nacogdoches",15656,"75961","Nacogdoches","TX"
"75962","Nacogdoches",2712,"75962","Nacogdoches","TX"
"75964","Nacogdoches",19986,"75964","Nacogdoches","TX"
"75965","Nacogdoches",17652,"75965","Nacogdoches","TX"
"75965","Nacogdoches",17652,"75963","Nacogdoches","TX"
"75966","Newton",4209,"75966","Newton","TX"
"75968","Pineland",1819,"75968","Pineland","TX"
"75969","Pollok",4301,"75969","Pollok","TX"
"75972","San Augustine",5899,"75972","San Augustine","TX"
"75973","Shelbyville",2290,"75973","Shelbyville","TX"
"75974","Tenaha",2860,"75974","Tenaha","TX"
"75975","Timpson",3373,"75975","Timpson","TX"
"75976","Wells",1047,"75976","Wells","TX"
